Country,Locality,Indicator,Date,Value
Guinea,National,cumulative_cases,31/03/2014,122
Guinea,National,cumulative_deaths,31/03/2014,80
Guinea,National,cumulative_cases,1/4/2014,127
Guinea,National,cumulative_deaths,1/4/2014,83
Guinea,Conakry,cumulative_cases,4/4/2014,18
Guinea,Conakry,cumulative_deaths,4/4/2014,5
Guinea,Gueckedou,cumulative_cases,4/4/2014,85
Guinea,Gueckedou,cumulative_deaths,4/4/2014,59
Guinea,National,cumulative_cases,4/4/2014,143
Guinea,National,cumulative_deaths,4/4/2014,86
Guinea,Conakry,cumulative_cases,7/4/2014,20
Guinea,Conakry,cumulative_deaths,7/4/2014,6
Guinea,Gueckedou,cumulative_cases,7/4/2014,90
Guinea,Gueckedou,cumulative_deaths,7/4/2014,63
Guinea,National,cumulative_cases,7/4/2014,151
Guinea,National,cumulative_deaths,7/4/2014,95
Liberia,National,cumulative_cases,8/4/2014,21
Liberia,National,cumulative_deaths,8/4/2014,10
Liberia,National,cumulative_cases,9/4/2014,22
Liberia,National,cumulative_deaths,9/4/2014,12
Guinea,National,cumulative_cases,10/4/2014,157
Guinea,National,cumulative_deaths,10/4/2014,101
Liberia,Lofa County,cumulative_cases,10/4/2014,10
Liberia,Lofa County,cumulative_deaths,10/4/2014,9
Liberia,Margibi County,cumulative_cases,10/4/2014,6
Liberia,Margibi County,cumulative_deaths,10/4/2014,1
Liberia,Montserrado County,cumulative_cases,10/4/2014,1
Liberia,Montserrado County,cumulative_deaths,10/4/2014,1
Liberia,National,cumulative_cases,10/4/2014,25
Liberia,National,cumulative_deaths,10/4/2014,12
Liberia,Nimba County,cumulative_cases,10/4/2014,3
Liberia,Nimba County,cumulative_deaths,10/4/2014,1
Guinea,Conakry,cumulative_cases,11/4/2014,31
Guinea,Gueckedou,cumulative_cases,11/4/2014,95
Guinea,National,cumulative_cases,11/4/2014,159
Guinea,National,cumulative_deaths,11/4/2014,106
Liberia,Lofa County,cumulative_cases,13/04/2014,10
Liberia,Lofa County,cumulative_deaths,13/04/2014,9
Liberia,Margibi County,cumulative_cases,13/04/2014,6
Liberia,Margibi County,cumulative_deaths,13/04/2014,2
Liberia,Montserrado County,cumulative_cases,13/04/2014,1
Liberia,Montserrado County,cumulative_deaths,13/04/2014,1
Liberia,National,cumulative_cases,13/04/2014,26
Liberia,National,cumulative_deaths,13/04/2014,13
Liberia,Nimba County,cumulative_cases,13/04/2014,3
Liberia,Nimba County,cumulative_deaths,13/04/2014,1
Guinea,National,cumulative_cases,14/04/2014,168
Guinea,National,cumulative_deaths,14/04/2014,108
Guinea,Conakry,cumulative_cases,16/04/2014,47
Guinea,Conakry,cumulative_deaths,16/04/2014,16
Guinea,Gueckedou,cumulative_cases,16/04/2014,117
Guinea,Gueckedou,cumulative_deaths,16/04/2014,80
Guinea,National,cumulative_cases,16/04/2014,197
Guinea,National,cumulative_deaths,16/04/2014,122
Liberia,Lofa County,cumulative_cases,16/04/2014,10
Liberia,Lofa County,cumulative_deaths,16/04/2014,9
Liberia,Margibi County,cumulative_cases,16/04/2014,6
Liberia,Margibi County,cumulative_deaths,16/04/2014,2
Liberia,Montserrado County,cumulative_cases,16/04/2014,1
Liberia,Montserrado County,cumulative_deaths,16/04/2014,1
Liberia,National,cumulative_cases,16/04/2014,27
Liberia,National,cumulative_deaths,16/04/2014,13
Liberia,Nimba County,cumulative_cases,16/04/2014,4
Liberia,Nimba County,cumulative_deaths,16/04/2014,1
Guinea,Conakry,cumulative_cases,17/04/2014,50
Guinea,Conakry,cumulative_deaths,17/04/2014,20
Guinea,Gueckedou,cumulative_cases,17/04/2014,120
Guinea,Gueckedou,cumulative_deaths,17/04/2014,83
Guinea,National,cumulative_cases,17/04/2014,203
Guinea,National,cumulative_deaths,17/04/2014,129
Liberia,National,cumulative_cases,18/04/2014,27
Liberia,National,cumulative_deaths,18/04/2014,13
Guinea,Conakry,cumulative_cases,20/04/2014,53
Guinea,Conakry,cumulative_deaths,20/04/2014,23
Guinea,Gueckedou,cumulative_cases,20/04/2014,122
Guinea,Gueckedou,cumulative_deaths,20/04/2014,87
Guinea,National,cumulative_cases,20/04/2014,208
Guinea,National,cumulative_deaths,20/04/2014,136
Liberia,National,cumulative_cases,21/04/2014,27
Liberia,National,cumulative_deaths,21/04/2014,13
Guinea,Conakry,cumulative_cases,23/04/2014,58
Guinea,Conakry,cumulative_deaths,23/04/2014,24
Guinea,Gueckedou,cumulative_cases,23/04/2014,127
Guinea,Gueckedou,cumulative_deaths,23/04/2014,91
Guinea,National,cumulative_cases,23/04/2014,218
Guinea,National,cumulative_deaths,23/04/2014,141
Liberia,Lofa County,cumulative_cases,23/04/2014,11
Liberia,Lofa County,cumulative_deaths,23/04/2014,7
Liberia,Margibi County,cumulative_cases,23/04/2014,4
Liberia,Margibi County,cumulative_deaths,23/04/2014,3
Liberia,Montserrado County,cumulative_cases,23/04/2014,3
Liberia,Montserrado County,cumulative_deaths,23/04/2014,1
Liberia,National,cumulative_cases,23/04/2014,35
Liberia,National,cumulative_deaths,23/04/2014,11
Liberia,Nimba County,cumulative_cases,23/04/2014,7
Liberia,Nimba County,cumulative_deaths,23/04/2014,0
Liberia,National,cumulative_cases,24/04/2014,35
Liberia,National,cumulative_deaths,24/04/2014,11
Guinea,Conakry,cumulative_cases,26/04/2014,60
Guinea,Conakry,cumulative_deaths,26/04/2014,24
Guinea,Gueckedou,cumulative_cases,26/04/2014,131
Guinea,Gueckedou,cumulative_deaths,26/04/2014,93
Guinea,National,cumulative_cases,26/04/2014,224
Guinea,National,cumulative_deaths,26/04/2014,143
Guinea,Conakry,cumulative_cases,1/5/2014,53
Guinea,Conakry,cumulative_deaths,1/5/2014,24
Guinea,Gueckedou,cumulative_cases,1/5/2014,140
Guinea,Gueckedou,cumulative_deaths,1/5/2014,99
Guinea,National,cumulative_cases,1/5/2014,226
Guinea,National,cumulative_deaths,1/5/2014,149
Liberia,Lofa County,cumulative_cases,2/5/2014,7
Liberia,Margibi County,cumulative_cases,2/5/2014,2
Liberia,Montserrado County,cumulative_cases,2/5/2014,1
Liberia,National,cumulative_cases,2/5/2014,13
Liberia,National,cumulative_deaths,2/5/2014,11
Liberia,Nimba County,cumulative_cases,2/5/2014,2
Guinea,Conakry,cumulative_cases,3/5/2014,53
Guinea,Conakry,cumulative_deaths,3/5/2014,24
Guinea,Gueckedou,cumulative_cases,3/5/2014,145
Guinea,Gueckedou,cumulative_deaths,3/5/2014,105
Guinea,National,cumulative_cases,3/5/2014,231
Guinea,National,cumulative_deaths,3/5/2014,155
Guinea,Conakry,cumulative_cases,5/5/2014,53
Guinea,Conakry,cumulative_deaths,5/5/2014,24
Guinea,Gueckedou,cumulative_cases,5/5/2014,149
Guinea,Gueckedou,cumulative_deaths,5/5/2014,107
Guinea,National,cumulative_cases,5/5/2014,235
Guinea,National,cumulative_deaths,5/5/2014,157
Guinea,Conakry,cumulative_cases,7/5/2014,53
Guinea,Conakry,cumulative_deaths,7/5/2014,24
Guinea,Gueckedou,cumulative_cases,7/5/2014,151
Guinea,Gueckedou,cumulative_deaths,7/5/2014,108
Guinea,National,cumulative_cases,7/5/2014,236
Guinea,National,cumulative_deaths,7/5/2014,158
Liberia,Lofa County,cumulative_cases,9/5/2014,7
Liberia,Margibi County,cumulative_cases,9/5/2014,2
Liberia,National,cumulative_cases,9/5/2014,12
Liberia,National,cumulative_deaths,9/5/2014,11
Liberia,Nimba County,cumulative_cases,9/5/2014,2
Guinea,Conakry,cumulative_cases,10/5/2014,50
Guinea,Conakry,cumulative_deaths,10/5/2014,24
Guinea,Gueckedou,cumulative_cases,10/5/2014,149
Guinea,Gueckedou,cumulative_deaths,10/5/2014,106
Guinea,National,cumulative_cases,10/5/2014,233
Guinea,National,cumulative_deaths,10/5/2014,157
Guinea,Conakry,cumulative_cases,12/5/2014,50
Guinea,Conakry,cumulative_deaths,12/5/2014,24
Guinea,Gueckedou,cumulative_cases,12/5/2014,163
Guinea,Gueckedou,cumulative_deaths,12/5/2014,119
Guinea,National,cumulative_cases,12/5/2014,248
Guinea,National,cumulative_deaths,12/5/2014,171
Guinea,Conakry,cumulative_cases,23/05/2014,50
Guinea,Conakry,cumulative_deaths,23/05/2014,25
Guinea,Gueckedou,cumulative_cases,23/05/2014,170
Guinea,Gueckedou,cumulative_deaths,23/05/2014,121
Guinea,National,cumulative_cases,23/05/2014,258
Guinea,National,cumulative_deaths,23/05/2014,174
Guinea,Boffa,cumulative_cases,28/05/2014,4
Guinea,Boffa,cumulative_deaths,28/05/2014,0
Guinea,Conakry,cumulative_cases,28/05/2014,53
Guinea,Conakry,cumulative_deaths,28/05/2014,27
Guinea,Gueckedou,cumulative_cases,28/05/2014,179
Guinea,Gueckedou,cumulative_deaths,28/05/2014,133
Guinea,National,cumulative_cases,28/05/2014,291
Guinea,National,cumulative_deaths,28/05/2014,193
Guinea,Boffa,cumulative_cases,1/6/2014,4
Guinea,Boffa,cumulative_deaths,1/6/2014,2
Guinea,Conakry,cumulative_cases,1/6/2014,56
Guinea,Conakry,cumulative_deaths,1/6/2014,27
Guinea,Gueckedou,cumulative_cases,1/6/2014,190
Guinea,Gueckedou,cumulative_deaths,1/6/2014,140
Guinea,National,cumulative_cases,1/6/2014,328
Guinea,National,cumulative_deaths,1/6/2014,193
Liberia,Lofa County,cumulative_cases,2/6/2014,8
Liberia,Margibi County,cumulative_cases,2/6/2014,2
Liberia,National,cumulative_cases,2/6/2014,13
Liberia,National,cumulative_deaths,2/6/2014,10
Liberia,Nimba County,cumulative_cases,2/6/2014,2
Guinea,Boffa,cumulative_cases,3/6/2014,7
Guinea,Boffa,cumulative_deaths,3/6/2014,4
Guinea,Conakry,cumulative_cases,3/6/2014,65
Guinea,Conakry,cumulative_deaths,3/6/2014,27
Guinea,Gueckedou,cumulative_cases,3/6/2014,193
Guinea,Gueckedou,cumulative_deaths,3/6/2014,143
Guinea,National,cumulative_cases,3/6/2014,344
Guinea,National,cumulative_deaths,3/6/2014,215
Guinea,Boffa,cumulative_cases,5/6/2014,7
Guinea,Boffa,cumulative_deaths,5/6/2014,6
Guinea,Conakry,cumulative_cases,5/6/2014,67
Guinea,Conakry,cumulative_deaths,5/6/2014,29
Guinea,Gueckedou,cumulative_cases,5/6/2014,194
Guinea,Gueckedou,cumulative_deaths,5/6/2014,146
Guinea,National,cumulative_cases,5/6/2014,351
Guinea,National,cumulative_deaths,5/6/2014,226
Liberia,Lofa County,cumulative_cases,7/6/2014,9
Liberia,Margibi County,cumulative_cases,7/6/2014,2
Liberia,National,cumulative_cases,7/6/2014,14
Liberia,National,cumulative_deaths,7/6/2014,10
Liberia,Nimba County,cumulative_cases,7/6/2014,2
Liberia,Lofa County,cumulative_cases,9/6/2014,11
Liberia,Margibi County,cumulative_cases,9/6/2014,2
Liberia,National,cumulative_cases,9/6/2014,16
Liberia,Lofa County,cumulative_cases,11/6/2014,20
Liberia,Margibi County,cumulative_cases,11/6/2014,2
Liberia,Montserrado County,cumulative_cases,11/6/2014,5
Liberia,National,cumulative_cases,11/6/2014,30
Liberia,National,cumulative_deaths,11/6/2014,15
Liberia,Nimba County,cumulative_cases,11/6/2014,2
Liberia,Lofa County,cumulative_cases,13/06/2014,20
Liberia,Margibi County,cumulative_cases,13/06/2014,2
Liberia,Montserrado County,cumulative_cases,13/06/2014,6
Liberia,National,cumulative_cases,13/06/2014,31
Liberia,National,cumulative_deaths,13/06/2014,17
Liberia,Nimba County,cumulative_cases,13/06/2014,2
Guinea,Boffa,cumulative_cases,16/06/2014,19
Guinea,Boffa,cumulative_deaths,16/06/2014,10
Guinea,Conakry,cumulative_cases,16/06/2014,70
Guinea,Conakry,cumulative_deaths,16/06/2014,33
Guinea,Gueckedou,cumulative_cases,16/06/2014,224
Guinea,Gueckedou,cumulative_deaths,16/06/2014,173
Guinea,National,cumulative_cases,16/06/2014,398
Guinea,National,cumulative_deaths,16/06/2014,264
Liberia,Lofa County,cumulative_cases,16/06/2014,21
Liberia,Lofa County,cumulative_deaths,16/06/2014,8
Liberia,Margibi County,cumulative_cases,16/06/2014,2
Liberia,Margibi County,cumulative_deaths,16/06/2014,2
Liberia,Montserrado County,cumulative_cases,16/06/2014,8
Liberia,Montserrado County,cumulative_deaths,16/06/2014,8
Liberia,National,cumulative_cases,16/06/2014,33
Liberia,National,cumulative_deaths,16/06/2014,24
Liberia,Nimba County,cumulative_cases,16/06/2014,2
Liberia,Nimba County,cumulative_deaths,16/06/2014,0
Guinea,Boffa,cumulative_cases,18/06/2014,18
Guinea,Boffa,cumulative_deaths,18/06/2014,12
Guinea,Conakry,cumulative_cases,18/06/2014,64
Guinea,Conakry,cumulative_deaths,18/06/2014,33
Guinea,Gueckedou,cumulative_cases,18/06/2014,227
Guinea,Gueckedou,cumulative_deaths,18/06/2014,173
Guinea,National,cumulative_cases,18/06/2014,390
Guinea,National,cumulative_deaths,18/06/2014,267
Liberia,Lofa County,cumulative_cases,19/06/2014,28
Liberia,Lofa County,cumulative_deaths,19/06/2014,14
Liberia,Margibi County,cumulative_cases,19/06/2014,2
Liberia,Margibi County,cumulative_deaths,19/06/2014,2
Liberia,Montserrado County,cumulative_cases,19/06/2014,9
Liberia,Montserrado County,cumulative_deaths,19/06/2014,9
Liberia,National,cumulative_cases,19/06/2014,41
Liberia,National,cumulative_deaths,19/06/2014,25
Liberia,Nimba County,cumulative_cases,19/06/2014,2
